well_id,water_cut_fraction,MAIP_psi,required_injection_pressure_psi,porosity_fraction,permeability_md,TDS_mg_L,oil_in_water_ppm,TSS_mg_L,Ca_mg_L,SO4_mg_L,Ba_mg_L,Sr_mg_L,CRI,SRI,lithology,pH,temperature_C,GRSS,recommended_decision,main_reason
W01,0.122,6936,4817,0.279,715,3658,5.3,51.85,1216,5,0,96,40.5,0,carbonate,7.55,58.12,74.94,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.158,6999,4467,0.279,746,2326,9.03,74.49,1598,268,0,131,18.4,48.7,sandstone,8.14,45.46,76.44,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.089,7125,4514,0.26,628,1761,8.59,80.3,1503,197,0,154,23.8,48.3,carbonate,8.27,47.83,75.42,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.161,6957,4819,0.252,573,3804,5.4,69.97,886,189,0,74,16.9,8.5,sandstone,8.19,37.33,74.9,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.13,7250,4850,0.272,623,2411,4.73,49.26,1066,217,0,111,13.8,35.1,sandstone,7.82,42.34,73.81,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.192,7079,4850,0.274,610,1294,10.15,6.32,929,142,0,112,0,31.8,carbonate,8.02,43.01,90.4,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.153,7260,4850,0.299,746,4278,10.13,82.9,1516,5,0,126,23.4,0,sandstone,7.99,47.52,73.94,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.211,7024,4850,0.281,653,2442,9.4,51.86,1232,109,0,142,14.3,20.1,sandstone,7.81,39.75,78.03,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.201,6831,4850,0.283,595,1887,12.47,37.25,1066,130,0,70,11.4,7,sandstone,8.26,43.38,78.67,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.187,7701,4786,0.275,669,3349,4.87,43.35,1168,158,0,88,12.7,10.7,sandstone,8.19,32.16,86.98,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.172,7219,4737,0.274,580,3732,9.53,45,1354,185,0,145,13.1,30.5,carbonate,7.77,44.02,92.29,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.132,6951,4364,0.27,598,2619,7.99,17.19,1508,286,0,135,4.7,49.5,carbonate,8.09,41.23,88.88,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.136,7395,4727,0.263,564,3696,9.36,50.84,1975,223,0,54,18.4,4,sandstone,8.27,47.12,75.11,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.126,7631,4395,0.274,688,4082,11.83,79.01,1416,267,0,114,18,33,shale,8.28,41.64,62.4,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.141,7013,4390,0.271,603,1937,7.44,23.16,1576,218,0,75,7.3,26.1,shale,7.86,43.56,32.49,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.187,7514,4850,0.265,214,3236,6.46,39.9,1319,71,0,69,42,0,sandstone,7.88,63.19,70.78,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.201,7295,4467,0.277,527,3625,6.83,24.29,1181,313,0,116,23.9,41.2,shale,8.21,53.12,30.71,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.159,7602,4310,0.273,723,875,5.18,30.95,1223,267,0,85,23.1,50.8,sandstone,8.33,51.65,77.49,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.142,7277,4321,0.283,665,2750,8.01,74.99,1332,117,0,94,35.8,6.6,shale,7.6,54.15,57.24,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.171,7599,4850,0.301,764,3591,7.92,46.75,1259,166,0,101,17,15.6,carbonate,8.44,46.78,93.31,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.154,7103,4522,0.258,583,2589,10.49,81.74,1185,168,0,87,18.7,17.2,sandstone,8.03,45.22,78.81,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.178,7377,4722,0.3,919,3673,8.52,16.83,1762,203,0,129,13.3,30,sandstone,8.66,49.4,92.39,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
